Unnamed: 0,Work Location,Region,Year,Number,Origin_Latitude,Origin_Longitude,Local Attendee,Conference Location,Destination_Latitude,Destination_Longitude,Travel Distance (round trip km),Travel CO2 (tonnes),Travel Cost (USD)
146,Mexico,Other Americas,2019,0,19.4326296,-99.1331785,0,"New Orleans, Louisiana",29.9499323,-90.0701156,2967.7486783977706,0.5577906925033648,569.8077462523719
147,Malaysia,Asia,2019,0,4.5693754,102.2656823,0,"New Orleans, Louisiana",29.9499323,-90.0701156,31915.932086370805,5.1411243185032305,2920.307785902929
148,Nigeria,Africa,2019,1,9.6000359,7.999972099999999,0,"New Orleans, Louisiana",29.9499323,-90.0701156,20482.544117185087,3.1736699129904737,1874.1527867224356
149,Netherlands,Europe,2019,28,52.500169799999995,5.7480820999999995,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15559.35940211417,2.3974455191683077,1633.7327372219881
150,Norway,Europe,2019,9,64.5731537,11.52803643954819,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15102.14328506617,2.327525203879472,1585.725044931948
151,New Zealand,Oceania,2019,0,-41.5000831,172.83440769999999,0,"New Orleans, Louisiana",29.9499323,-90.0701156,25411.561426343364,3.9936040822472245,2325.1578705104175
152,Peru,Other Americas,2019,0,-6.8699697,-75.0458515,0,"New Orleans, Louisiana",29.9499323,-90.0701156,8794.57696540381,1.400531274565798,923.4305813674002
153,Philippines,Asia,2019,0,12.750348599999999,122.7312101,0,"New Orleans, Louisiana",29.9499323,-90.0701156,28217.232797836827,4.479444893527278,2581.8768010020694
154,Pakistan,Middle East,2019,0,30.3308401,71.247499,0,"New Orleans, Louisiana",29.9499323,-90.0701156,26053.333129471088,4.103512050401804,2383.879981346605
155,Poland,Europe,2019,7,52.215933,19.134422,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17189.544788538708,2.6497419727172957,1804.9022027965643
156,Portugal,Europe,2019,4,40.0332629,-7.889626299999999,0,"New Orleans, Louisiana",29.9499323,-90.0701156,14612.770824727895,2.2530955212033588,1534.3409365964292
157,Qatar,Middle East,2019,1,25.3336984,51.2295295,0,"New Orleans, Louisiana",29.9499323,-90.0701156,25224.748684692204,3.9617474651874938,2308.064504649337
158,Romania,Europe,2019,0,45.98521289999999,24.6859225,0,"New Orleans, Louisiana",29.9499323,-90.0701156,18650.107779677015,2.879764452326521,1958.2613168660869
